Comment ID,Link ID,Parent ID,Author,Score,Publish Date,Permalink,Text,Stickied,Is Submitter
fdg19q7,t3_el5kai,t3_el5kai,phenylammonium,19,2020-01-06 23:52:36,/r/EDAnonymous/comments/el5kai/unfortunately_i_am_too_fat_to_lose_my_virginity/fdg19q7/,"Same haha a guy once told me I ""looked like a girl who likes her food"". I was 13 and BMI 21, he was 23 and a pedophile.",False,False
fdfwed2,t3_el5kai,t3_el5kai,Snow-wolf-19,5,2020-01-06 22:40:21,/r/EDAnonymous/comments/el5kai/unfortunately_i_am_too_fat_to_lose_my_virginity/fdfwed2/,Mood,False,False
