Comment ID,Link ID,Parent ID,Author,Score,Publish Date,Permalink,Text,Stickied,Is Submitter
ezws661,t3_d2r2yn,t1_ezwkgar,UnderwearFighter,1,2019-09-11 12:43:27,/r/EDAnonymous/comments/d2r2yn/had_the_worst_day_ever_and_its_only_10_am_we_all/ezws661/,OH THIS IS IT,False,True
ezwkgar,t3_d2r2yn,t3_d2r2yn,vpuvwv,1,2019-09-11 11:19:10,/r/EDAnonymous/comments/d2r2yn/had_the_worst_day_ever_and_its_only_10_am_we_all/ezwkgar/,AAYYOO. MY LIFE IS FALLING APART IN FRONT OF ME BUT ALL I AM IS NUMB AND DISSOCIATING AND WAY TOO APATHETIC SO ITS OBVIOUSLY TIME TO STARVE AS MORAL PENANCE 😍👌👌💯💯💯,False,False
