Comment ID,Link ID,Parent ID,Author,Score,Publish Date,Permalink,Text,Stickied,Is Submitter
ffeqge8,t3_esuipp,t3_esuipp,nnlssthrpl,1,2020-01-24 04:06:33,/r/EDAnonymous/comments/esuipp/lifesum_fitnesspal_yazio/ffeqge8/,life sum used to have this. i miss it :(,False,False
ffcy54s,t3_esuipp,t3_esuipp,icameheretoyellatyou,1,2020-01-23 14:01:22,/r/EDAnonymous/comments/esuipp/lifesum_fitnesspal_yazio/ffcy54s/,"Myfitbesspal has this actually  I remember they ask to set your diary sharing preferences (just you, just friends or everyone) and the app even says that people who have friends using it lose 2x more   Personally though that sounds like hell so mine is set private",False,False
