Comment ID,Link ID,Parent ID,Author,Score,Publish Date,Permalink,Text,Stickied,Is Submitter
eiyw6ab,t3_az156m,t1_ei4n64k,LMichaelM,1,2019-03-20 11:44:01,/r/EDAnonymous/comments/az156m/forever_battling_for_mastery_over_food/eiyw6ab/,"Abuncha downvotes for my post, and so far over a dozen upvotes for this clueless kid?  I guess this is where I'm supposed to jump in all shamefaced and ""explain"" what I meant? Dumb it down, huh? *Can't bother. Sorry, not sorry.* 🖕",False,True
ei4n64k,t3_az156m,t3_az156m,HotMessCentral,1,2019-03-09 02:26:36,/r/EDAnonymous/comments/az156m/forever_battling_for_mastery_over_food/ei4n64k/,wat,False,False
